Date,impSpecial,impPremium,impWellMilled,impRegular,locSpecial,locPremium,locWellMilled,locRegular
2021-01-04,52.0,45.0,42.0,,50.0,46.0,44.0,38.0
2021-01-05,52.0,45.0,42.0,,50.0,46.0,44.0,38.0
2021-01-06,52.0,45.0,42.0,,50.0,46.0,44.0,38.0
2021-01-07,52.0,45.0,42.0,,50.0,46.0,44.0,38.0
2021-01-08,52.0,45.0,42.0,,50.0,46.0,44.0,38.0
2021-01-09,52.0,45.0,42.0,,50.0,46.0,44.0,38.0
2021-01-10,52.0,45.0,42.0,,50.0,46.0,44.0,38.0
2021-01-11,52.0,44.0,42.0,,50.0,46.0,44.0,38.0
2021-01-12,52.0,44.0,42.0,,50.0,46.0,44.0,38.0
2021-01-13,52.0,44.0,42.0,,50.0,46.0,44.0,38.0
2021-01-14,52.0,44.0,42.0,,50.0,46.0,44.0,38.0
2021-01-15,52.0,44.0,42.0,,50.0,46.0,44.0,38.0
2021-01-16,52.0,44.0,42.0,,50.0,46.0,44.0,38.0
2021-01-17,52.0,44.0,42.0,,50.0,46.0,44.0,38.0
2021-01-18,50.0,46.5,38.67,38.0,50.0,46.0,44.0,38.0
2021-01-19,50.0,46.5,38.67,38.0,50.0,46.0,44.0,38.0
2021-01-20,50.0,46.5,38.67,38.0,50.0,46.0,44.0,38.0
2021-01-21,50.0,46.5,38.67,38.0,50.0,46.0,44.0,38.0
2021-01-22,50.0,46.5,38.67,38.0,50.0,46.0,44.0,38.0
2021-01-23,50.0,46.5,38.67,38.0,50.0,46.0,44.0,38.0
2021-01-24,50.0,46.5,38.67,38.0,50.0,46.0,44.0,38.0
2021-01-25,52.0,46.0,39.0,38.0,50.0,46.0,44.0,38.0
2021-01-26,52.0,46.0,39.0,38.0,50.0,46.0,44.0,38.0
2021-01-27,52.0,46.0,39.0,38.0,50.0,46.0,44.0,38.0
2021-01-28,52.0,46.0,39.0,38.0,50.0,46.0,44.0,38.0
2021-01-29,52.0,46.0,39.0,38.0,50.0,46.0,44.0,38.0
2021-01-30,52.0,46.0,39.0,38.0,50.0,46.0,44.0,38.0
2021-01-31,52.0,46.0,39.0,38.0,50.0,46.0,44.0,38.0
2021-02-01,52.0,46.0,42.0,,50.0,45.0,44.0,38.0
2021-02-02,52.0,46.0,42.0,,50.0,45.0,44.0,38.0
2021-02-03,52.0,46.0,42.0,,50.0,45.0,44.0,38.0
2021-02-04,52.0,46.0,42.0,,50.0,45.0,44.0,38.0
2021-02-05,52.0,46.0,42.0,,50.0,45.0,44.0,38.0
2021-02-06,52.0,46.0,42.0,,50.0,45.0,44.0,38.0
2021-02-07,52.0,46.0,42.0,,50.0,45.0,44.0,38.0
2021-02-08,52.0,45.0,42.0,,50.0,45.0,44.0,38.0
2021-02-09,52.0,45.0,42.0,,50.0,45.0,44.0,38.0
2021-02-10,52.0,45.0,42.0,,50.0,45.0,44.0,38.0
2021-02-11,52.0,45.0,42.0,,50.0,45.0,44.0,38.0
2021-02-12,52.0,45.0,42.0,,50.0,45.0,44.0,38.0
2021-02-13,52.0,45.0,42.0,,50.0,45.0,44.0,38.0
2021-02-14,52.0,45.0,42.0,,50.0,45.0,44.0,38.0
2021-02-15,52.0,45.0,42.0,,50.0,45.0,44.0,38.0
2021-02-16,52.0,45.0,42.0,,50.0,45.0,44.0,38.0
2021-02-17,52.0,45.0,42.0,,50.0,45.0,44.0,38.0
2021-02-18,52.0,45.0,42.0,,50.0,45.0,44.0,38.0
2021-02-19,52.0,45.0,42.0,,50.0,45.0,44.0,38.0
2021-02-20,52.0,45.0,42.0,,50.0,45.0,44.0,38.0
2021-02-21,52.0,45.0,42.0,,50.0,45.0,44.0,38.0
2021-02-22,52.0,45.0,44.0,,50.0,46.0,40.0,38.0
2021-02-23,52.0,45.0,44.0,,50.0,46.0,40.0,38.0
2021-02-24,52.0,45.0,44.0,,50.0,46.0,40.0,38.0
2021-02-25,52.0,45.0,44.0,,50.0,46.0,40.0,38.0
2021-02-26,52.0,45.0,44.0,,50.0,46.0,40.0,38.0
2021-02-27,52.0,45.0,44.0,,50.0,46.0,40.0,38.0
2021-02-28,52.0,45.0,44.0,,50.0,46.0,40.0,38.0
2021-03-01,52.0,46.67,44.0,,50.0,45.0,44.0,38.0
2021-03-02,52.0,46.67,44.0,,50.0,45.0,44.0,38.0
2021-03-03,52.0,46.67,44.0,,50.0,45.0,44.0,38.0
2021-03-04,52.0,46.67,44.0,,50.0,45.0,44.0,38.0
2021-03-05,52.0,46.67,44.0,,50.0,45.0,44.0,38.0
2021-03-06,52.0,46.67,44.0,,50.0,45.0,44.0,38.0
2021-03-07,52.0,46.67,44.0,,50.0,45.0,44.0,38.0
2021-03-08,52.0,46.0,44.0,,50.0,46.0,44.0,38.0
2021-03-09,52.0,46.0,44.0,,50.0,46.0,44.0,38.0
2021-03-10,52.0,46.0,44.0,,50.0,46.0,44.0,38.0
2021-03-11,52.0,46.0,44.0,,50.0,46.0,44.0,38.0
2021-03-12,52.0,46.0,44.0,,50.0,46.0,44.0,38.0
2021-03-13,52.0,46.0,44.0,,50.0,46.0,44.0,38.0
2021-03-14,52.0,46.0,44.0,,50.0,46.0,44.0,38.0
2021-03-15,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-03-16,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-03-17,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-03-18,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-03-19,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-03-20,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-03-21,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-03-22,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-03-23,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-03-24,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-03-25,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-03-26,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-03-27,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-03-28,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-03-29,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-03-30,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-03-31,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-04-01,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-04-02,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-04-03,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-04-04,52.0,45.0,44.0,,50.0,46.0,44.0,38.0
2021-04-05,52.0,45.0,44.0,,50.0,45.0,44.0,38.0
2021-04-06,52.0,45.0,44.0,,50.0,45.0,44.0,38.0
2021-04-07,52.0,45.0,44.0,,50.0,45.0,44.0,38.0
2021-04-08,52.0,45.0,44.0,,50.0,45.0,44.0,38.0
2021-04-09,52.0,45.0,44.0,,50.0,45.0,44.0,38.0
2021-04-10,52.0,45.0,44.0,,50.0,45.0,44.0,38.0
2021-04-11,52.0,45.0,44.0,,50.0,45.0,44.0,38.0
2021-04-12,52.0,45.0,44.0,,50.0,45.0,44.0,38.0
2021-04-13,52.0,45.0,44.0,,50.0,45.0,44.0,38.0
2021-04-14,52.0,45.0,44.0,,50.0,45.0,44.0,38.0
2021-04-15,52.0,45.0,44.0,,50.0,45.0,44.0,38.0
2021-04-16,52.0,45.0,44.0,,50.0,45.0,44.0,38.0
2021-04-17,52.0,45.0,44.0,,50.0,45.0,44.0,38.0
2021-04-18,52.0,45.0,44.0,,50.0,45.0,44.0,38.0
2021-04-19,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-04-20,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-04-21,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-04-22,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-04-23,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-04-24,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-04-25,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-04-26,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-04-27,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-04-28,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-04-29,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-04-30,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-05-01,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-05-02,52.0,45.0,44.0,,50.0,45.0,40.0,38.0
2021-05-03,52.0,46.0,44.0,,50.0,45.0,44.0,38.0
2021-05-04,52.0,46.0,44.0,,50.0,45.0,44.0,38.0
2021-05-05,52.0,46.0,44.0,,50.0,45.0,44.0,38.0
2021-05-06,52.0,46.0,44.0,,50.0,45.0,44.0,38.0
2021-05-07,52.0,46.0,44.0,,50.0,45.0,44.0,38.0
2021-05-08,52.0,46.0,44.0,,50.0,45.0,44.0,38.0
2021-05-09,52.0,46.0,44.0,,50.0,45.0,44.0,38.0
2021-05-10,52.0,47.0,44.0,,50.0,45.5,44.0,38.0
