Date,impSpecial,impPremium,impWellMilled,impRegular,locSpecial,locPremium,locWellMilled,locRegular
2019-10-01,52.0,43.0,35.0,32.0,50.0,45.0,40.0,35.0
2019-10-09,50.0,43.0,35.0,32.0,50.0,45.0,40.0,35.0
2019-10-14,50.0,43.0,35.0,32.0,50.0,45.0,40.0,35.0
2019-10-19,52.0,43.0,40.0,32.0,50.0,45.0,40.0,36.0
2019-10-25,52.0,43.0,40.0,32.0,50.0,45.0,40.0,35.0
2019-10-31,52.0,43.0,40.0,32.0,50.0,46.0,40.0,35.0
2019-11-04,52.0,43.0,40.0,32.0,50.0,45.0,40.0,35.0
2019-11-08,52.0,45.0,40.0,,50.0,45.0,40.0,35.0
2019-11-14,52.0,43.0,40.0,32.0,50.0,45.0,40.0,35.0
2019-11-20,52.0,43.0,44.0,36.0,50.0,46.0,40.0,35.0
2019-11-28,52.0,43.0,45.0,32.0,55.0,46.0,40.0,35.0
2019-12-02,52.0,46.0,44.0,,54.0,46.0,40.0,35.0
2019-12-09,52.0,46.0,44.0,,50.0,46.0,40.0,35.0
2019-12-14,52.0,46.0,45.0,,50.0,46.0,40.0,36.0
2019-12-16,52.0,43.0,42.0,,50.0,46.0,40.0,35.0
2019-12-23,52.0,46.0,44.0,,54.0,46.0,40.0,35.0
2020-01-02,52.0,43.0,44.0,,54.0,46.0,40.0,35.0
2020-01-09,52.0,43.0,46.0,,54.0,45.0,40.0,32.0
2020-01-16,52.0,46.0,44.0,,54.0,45.0,40.0,32.0
2020-01-22,52.0,46.0,44.0,40.0,54.0,45.0,40.0,32.0
2020-01-30,52.0,46.0,46.0,,54.0,45.0,40.0,32.0
2020-02-03,52.0,46.0,46.0,40.0,50.0,46.0,40.0,32.0
2020-02-11,52.0,46.0,44.0,,50.0,45.0,40.0,32.0
2020-02-18,52.0,46.0,40.0,,50.0,46.0,40.0,32.0
2020-02-27,52.0,47.0,44.0,,54.0,45.0,40.0,32.0
2020-03-05,52.0,40.0,44.0,,54.0,45.0,40.0,35.0
2020-03-12,50.0,40.0,32.0,,54.0,45.0,40.0,35.0
2020-03-21,,,,,48.0,45.0,40.0,32.0
2020-03-30,,,,,54.0,45.0,40.0,32.0
2020-04-03,,,42.0,,54.0,45.0,40.0,35.0
2020-04-13,52.0,43.0,,,50.0,45.0,40.0,37.0
