Date,source,impSpecial,impPremium,impWellMilled,impRegular,locSpecial,locPremium,locWellMilled,locRegular
2026-04-01,DA Daily Price Index (PDF),61.17,58.92,47.96,43.22,60.58,55.64,49.81,43.71
2026-04-02,DA Daily Price Index (PDF),61.17,58.92,47.96,43.22,60.57,55.63,49.81,43.71
2026-04-03,DA Daily Price Index (PDF),61.33,58.89,47.94,42.86,60.03,55.64,49.91,43.27
2026-04-04,DA Daily Price Index (PDF),61.47,58.87,47.95,43.6,60.66,55.63,49.94,43.68
2026-04-05,DA Daily Price Index (PDF),60.25,58.78,48.33,44.0,59.86,55.44,50.17,44.17
2026-04-06,DA Daily Price Index (PDF),61.09,59.23,47.94,43.22,60.56,55.84,49.73,43.79
2026-04-07,DA Daily Price Index (PDF),61.13,59.24,47.91,43.22,60.59,55.77,49.37,43.77
2026-04-08,DA Daily Price Index (PDF),60.89,59.55,47.92,43.0,60.66,56.2,50.16,43.73
2026-04-09,DA Daily Price Index (PDF),61.27,59.47,47.92,43.25,60.54,55.87,50.03,44.7
2026-04-10,DA Daily Price Index (PDF),61.38,59.69,47.94,43.25,60.4,55.79,49.72,44.58
2026-04-11,DA Daily Price Index (PDF),61.27,59.39,47.95,43.25,60.6,55.92,50.08,44.75
2026-04-12,DA Daily Price Index (PDF),61.5,59.5,48.25,43.0,60.9,55.25,51.14,43.63
2026-04-13,DA Daily Price Index (PDF),61.27,59.57,47.95,43.25,60.74,55.71,50.27,45.5
2026-04-14,DA Daily Price Index (PDF),61.27,59.46,47.96,43.25,60.64,55.81,49.88,44.67
2026-04-15,DA Daily Price Index (PDF),61.27,59.37,47.96,43.25,60.66,55.8,49.94,44.59
2026-04-16,DA Daily Price Index (PDF),60.96,59.35,47.96,43.25,60.86,56.07,50.08,44.33
2026-04-17,DA Daily Price Index (PDF),60.96,59.29,47.96,43.25,60.96,56.12,50.02,44.06
2026-04-18,DA Daily Price Index (PDF),61.27,59.32,47.96,43.25,60.75,55.77,49.88,44.37
2026-04-19,DA Daily Price Index (PDF),60.25,59.22,48.0,45.5,61.57,56.44,51.5,43.8
2026-04-20,DA Daily Price Index (PDF),61.5,59.54,48.06,42.5,60.76,55.88,50.23,44.38
2026-04-21,DA Daily Price Index (PDF),61.4,59.36,48.05,42.5,60.8,55.88,50.4,44.67
2026-04-22,DA Daily Price Index (PDF),61.4,59.3,48.05,42.5,60.7,55.86,50.68,45.06
2026-04-23,DA Daily Price Index (PDF),61.0,59.13,48.06,42.5,60.64,55.88,50.73,45.32
2026-04-24,DA Daily Price Index (PDF),60.58,59.1,48.05,42.5,60.73,56.05,50.46,44.88
2026-04-25,DA Daily Price Index (PDF),60.86,59.11,48.05,42.5,60.47,55.69,50.18,45.0
2026-04-26,DA Daily Price Index (PDF),61.8,59.38,48.0,43.0,59.78,55.94,51.08,44.44
2026-04-27,DA Daily Price Index (PDF),61.86,58.87,48.0,42.5,60.65,55.75,50.58,45.22
2026-04-28,DA Daily Price Index (PDF),61.54,58.77,48.0,42.5,60.63,55.81,50.64,45.26
2026-04-29,DA Daily Price Index (PDF),61.52,58.79,48.0,42.5,60.6,55.71,50.58,44.86
2026-04-30,DA Daily Price Index (PDF),60.7,58.65,48.0,42.5,60.58,55.69,50.53,45.0
2026-05-01,DA Daily Price Index (PDF),60.36,58.57,48.0,42.5,60.76,55.93,50.67,44.69
2026-05-02,DA Daily Price Index (PDF),60.36,58.56,48.0,42.5,60.76,55.93,50.66,44.85
2026-05-03,DA Daily Price Index (PDF),61.5,58.53,48.0,43.0,59.24,56.53,50.15,45.5
2026-05-04,DA Daily Price Index (PDF),60.68,58.53,48.0,42.5,60.64,55.71,50.46,45.33
