Date,source,impSpecial,impPremium,impWellMilled,impRegular,locSpecial,locPremium,locWellMilled,locRegular
2023-12-25,DA Weekly Average Price (2023-12-25 to 2023-12-29),61.23,57.24,57.5,50.8,61.07,54.75,50.53,50.95
2023-12-26,DA Weekly Average Price (2023-12-25 to 2023-12-29),61.23,57.24,57.5,50.8,61.07,54.75,50.53,50.95
2023-12-27,DA Weekly Average Price (2023-12-25 to 2023-12-29),61.23,57.24,57.5,50.8,61.07,54.75,50.53,50.95
2023-12-28,DA Weekly Average Price (2023-12-25 to 2023-12-29),61.23,57.24,57.5,50.8,61.07,54.75,50.53,50.95
2023-12-29,DA Weekly Average Price (2023-12-25 to 2023-12-29),61.23,57.24,57.5,50.8,61.07,54.75,50.53,50.95
2024-01-01,DA Weekly Average Price (2024-01-01 to 2024-01-05),61.04,57.45,53.67,50.8,61.05,55.02,50.9,51.83
2024-01-02,DA Weekly Average Price (2024-01-01 to 2024-01-05),61.04,57.45,53.67,50.8,61.05,55.02,50.9,51.83
2024-01-03,DA Weekly Average Price (2024-01-01 to 2024-01-05),61.04,57.45,53.67,50.8,61.05,55.02,50.9,51.83
2024-01-04,DA Weekly Average Price (2024-01-01 to 2024-01-05),61.04,57.45,53.67,50.8,61.05,55.02,50.9,51.83
2024-01-05,DA Weekly Average Price (2024-01-01 to 2024-01-05),61.04,57.45,53.67,50.8,61.05,55.02,50.9,51.83
2024-01-08,DA Weekly Average Price (2024-01-08 to 2024-01-12),61.01,57.85,53.61,50.8,61.27,55.27,51.96,49.96
2024-01-09,DA Weekly Average Price (2024-01-08 to 2024-01-12),61.01,57.85,53.61,50.8,61.27,55.27,51.96,49.96
2024-01-10,DA Weekly Average Price (2024-01-08 to 2024-01-12),61.01,57.85,53.61,50.8,61.27,55.27,51.96,49.96
2024-01-11,DA Weekly Average Price (2024-01-08 to 2024-01-12),61.01,57.85,53.61,50.8,61.27,55.27,51.96,49.96
