Date,locSpecial,locPremium,locWellMilled,locRegular,impSpecial,impPremium,impWellMilled,impRegular,fuel,exchange
2015-01-01,50.0,45.0,43.0,38.5,48.0,44.0,41.0,38.0,,44.66600036621094
2015-01-02,50.0,45.0,43.0,38.5,48.0,44.0,41.0,38.0,,44.64899826049805
2015-01-03,50.0,45.0,43.0,38.5,48.0,44.0,41.0,38.0,,
2015-01-04,50.0,45.0,43.0,38.5,48.0,44.0,41.0,38.0,,
2015-01-05,50.0,45.0,43.0,38.5,48.0,44.0,41.0,38.0,28.1,44.75500106811523
2015-01-06,50.0,45.0,43.0,38.5,48.0,44.0,41.0,38.0,,44.95999908447266
2015-01-07,50.0,45.0,42.82,38.4,48.0,44.0,40.85,37.9,,44.91799926757812
2015-01-08,50.0,45.0,42.82,38.4,48.0,44.0,40.85,37.9,,44.98600006103516
2015-01-09,50.0,45.0,42.82,38.4,48.0,44.0,40.85,37.9,,44.74399948120117
2015-01-10,50.0,45.0,42.82,38.4,48.0,44.0,40.85,37.9,,
2015-01-11,50.0,45.0,42.82,38.4,48.0,44.0,40.85,37.9,,
2015-01-12,50.0,45.0,42.82,38.4,48.0,44.0,40.85,37.9,26.6,44.75199890136719
2015-01-13,50.0,45.0,42.82,38.4,48.0,44.0,40.85,37.9,,44.75500106811523
2015-01-14,50.0,45.0,42.5,38.0,48.0,44.0,40.5,37.5,,44.54399871826172
2015-01-15,50.0,45.0,42.5,38.0,48.0,44.0,40.5,37.5,,44.50799942016602
2015-01-16,50.0,45.0,42.5,38.0,48.0,44.0,40.5,37.5,,44.52099990844727
2015-01-17,50.0,45.0,42.5,38.0,48.0,44.0,40.5,37.5,,
2015-01-18,50.0,45.0,42.5,38.0,48.0,44.0,40.5,37.5,,
2015-01-19,50.0,45.0,42.5,38.0,48.0,44.0,40.5,37.5,26.2,44.50699996948242
2015-01-20,50.0,45.0,42.5,38.0,48.0,44.0,40.5,37.5,,44.43000030517578
2015-01-21,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,,44.43999862670898
2015-01-22,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,,44.23199844360352
2015-01-23,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,,44.08599853515625
2015-01-24,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,,
2015-01-25,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,,
2015-01-26,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,25.25,44.01100158691406
2015-01-27,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,,44.07500076293945
2015-01-28,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,,43.94100189208984
2015-01-29,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,,44.04000091552734
2015-01-30,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,,43.88800048828125
2015-01-31,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,25.25,
2015-02-01,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,,
2015-02-02,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,25.25,44.09500122070312
2015-02-03,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,,44.02700042724609
2015-02-04,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,,43.88199996948242
2015-02-05,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,,43.98300170898438
2015-02-06,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,,44.01499938964844
2015-02-07,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,,
2015-02-08,48.0,44.0,42.0,37.5,48.0,43.5,40.0,37.0,,
2015-02-09,48.0,44.0,42.2,37.75,48.0,43.5,40.25,37.25,26.75,44.11299896240234
2015-02-10,48.0,44.0,42.2,37.75,48.0,43.5,40.25,37.25,,44.27799987792969
2015-02-11,48.0,44.0,42.2,37.75,48.0,43.5,40.25,37.25,,44.30500030517578
2015-02-12,48.0,44.0,42.2,37.75,48.0,43.5,40.25,37.25,,44.34000015258789
2015-02-13,48.0,44.0,42.2,37.75,48.0,43.5,40.25,37.25,,44.22999954223633
2015-02-14,48.0,44.0,42.2,37.75,48.0,43.5,40.25,37.25,,
2015-02-15,48.0,44.0,42.2,37.75,48.0,43.5,40.25,37.25,,
2015-02-16,48.0,44.0,42.5,38.0,48.0,43.5,40.5,37.5,28.25,44.20999908447266
2015-02-17,48.0,44.0,42.5,38.0,48.0,43.5,40.5,37.5,,44.11600112915039
2015-02-18,48.0,44.0,42.5,38.0,48.0,43.5,40.5,37.5,,44.12099838256836
2015-02-19,48.0,44.0,42.5,38.0,48.0,43.5,40.5,37.5,,44.01200103759766
2015-02-20,48.0,44.0,42.5,38.0,48.0,43.5,40.5,37.5,,44.05300140380859
2015-02-21,48.0,44.0,42.5,38.0,48.0,43.5,40.5,37.5,,
2015-02-22,48.0,44.0,42.5,38.0,48.0,43.5,40.5,37.5,,
2015-02-23,48.0,44.0,42.5,38.0,48.0,43.5,40.5,37.5,28.25,44.15000152587891
2015-02-24,48.0,44.0,42.5,38.0,48.0,43.5,40.5,37.5,,44.12599945068359
2015-02-25,48.0,44.0,42.5,38.0,48.0,43.5,40.5,37.5,,44.00500106811523
2015-02-26,48.0,44.0,42.8,38.2,48.0,43.5,40.8,37.8,,43.88299942016602
2015-02-27,48.0,44.0,42.8,38.2,48.0,43.5,40.8,37.8,,43.95299911499023
2015-02-28,48.0,44.0,42.8,38.2,48.0,43.5,40.8,37.8,,
2015-03-01,48.0,44.0,42.8,38.2,48.0,43.5,40.8,37.8,,
2015-03-02,48.0,44.0,42.8,38.2,48.0,43.5,40.8,37.8,28.25,44.0
2015-03-03,48.0,44.0,42.8,38.2,48.0,43.5,40.8,37.8,,44.08499908447266
2015-03-04,48.0,44.0,42.8,38.2,48.0,43.5,40.8,37.8,,44.0629997253418
2015-03-05,48.0,44.0,42.8,38.2,48.0,43.5,40.8,37.8,,44.04000091552734
2015-03-06,48.0,44.0,42.8,38.2,48.0,43.5,40.8,37.8,,44.06499862670898
2015-03-07,48.0,44.0,42.8,38.2,48.0,43.5,40.8,37.8,,
2015-03-08,48.0,44.0,42.8,38.2,48.0,43.5,40.8,37.8,,
2015-03-09,50.0,45.0,43.0,38.5,48.0,43.5,41.0,38.0,28.95,44.20500183105469
2015-03-10,50.0,45.0,43.0,38.5,48.0,43.5,41.0,38.0,,44.15999984741211
2015-03-11,50.0,45.0,43.0,38.5,48.0,43.5,41.0,38.0,,44.29000091552734
2015-03-12,50.0,45.0,43.0,38.5,48.0,43.5,41.0,38.0,,44.27500152587891
2015-03-13,50.0,45.0,43.0,38.5,48.0,43.5,41.0,38.0,,44.15499877929688
2015-03-14,50.0,45.0,43.0,38.5,48.0,43.5,41.0,38.0,,
2015-03-15,50.0,45.0,43.0,38.5,48.0,43.5,41.0,38.0,,
2015-03-16,50.0,46.0,43.5,39.0,48.0,44.0,41.5,38.5,29.6,44.1870002746582
2015-03-17,50.0,46.0,43.5,39.0,48.0,44.0,41.5,38.5,,44.32500076293945
2015-03-18,50.0,46.0,43.5,39.0,48.0,44.0,41.5,38.5,,44.59999847412109
2015-03-19,50.0,46.0,43.5,39.0,48.0,44.0,41.5,38.5,,44.54999923706055
2015-03-20,50.0,46.0,43.5,39.0,48.0,44.0,41.5,38.5,,44.81000137329102
2015-03-21,50.0,46.0,43.5,39.0,48.0,44.0,41.5,38.5,,
2015-03-22,50.0,46.0,43.5,39.0,48.0,44.0,41.5,38.5,,
2015-03-23,52.0,47.0,44.0,40.0,50.0,45.0,42.0,39.0,28.1,44.72600173950195
2015-03-24,52.0,47.0,44.0,40.0,50.0,45.0,42.0,39.0,,44.54000091552734
2015-03-25,52.0,47.0,44.0,40.0,50.0,45.0,42.0,39.0,,44.5880012512207
2015-03-26,52.0,47.0,44.0,40.0,50.0,45.0,42.0,39.0,,44.64400100708008
2015-03-27,52.0,47.0,44.0,40.0,50.0,45.0,42.0,39.0,,44.70199966430664
2015-03-28,52.0,47.0,44.0,40.0,50.0,45.0,42.0,39.0,,
2015-03-29,52.0,47.0,44.0,40.0,50.0,45.0,42.0,39.0,,
2015-03-30,52.0,47.0,44.0,40.0,50.0,45.0,42.0,39.0,29.1,44.67800140380859
2015-03-31,52.0,47.0,44.0,40.0,50.0,45.0,42.0,39.0,,44.58700180053711
2015-04-01,52.0,47.0,44.0,40.0,50.0,45.0,42.0,39.0,,44.49100112915039
2015-04-02,52.0,47.0,44.0,40.0,50.0,45.0,42.0,39.0,,44.43500137329102
2015-04-03,52.0,47.0,44.0,40.0,50.0,45.0,42.0,39.0,,44.32099914550781
2015-04-04,52.0,47.0,44.0,40.0,50.0,45.0,42.0,39.0,,
2015-04-05,52.0,47.0,44.0,40.0,50.0,45.0,42.0,39.0,,
2015-04-06,52.0,47.0,44.0,40.0,50.0,45.0,42.0,39.0,29.1,43.90599822998047
2015-04-07,52.0,47.0,44.0,40.0,50.0,45.0,42.0,39.0,,44.08100128173828
2015-04-08,52.0,47.5,44.5,40.5,50.0,45.0,42.5,39.5,,44.37900161743164
2015-04-09,52.0,47.5,44.5,40.5,50.0,45.0,42.5,39.5,,44.41500091552734
2015-04-10,52.0,47.5,44.5,40.5,50.0,45.0,42.5,39.5,,44.3650016784668
2015-04-11,52.0,47.5,44.5,40.5,50.0,45.0,42.5,39.5,,
2015-04-12,52.0,47.5,44.5,40.5,50.0,45.0,42.5,39.5,,
2015-04-13,52.0,47.5,44.5,40.5,50.0,45.0,42.5,39.5,28.5,44.46699905395508
2015-04-14,52.0,47.5,44.5,40.5,50.0,45.0,42.5,39.5,,44.59999847412109
2015-04-15,54.0,48.0,45.0,41.0,52.0,46.0,43.0,40.0,,44.5
2015-04-16,54.0,48.0,45.0,41.0,52.0,46.0,43.0,40.0,,44.54000091552734
2015-04-17,54.0,48.0,45.0,41.0,52.0,46.0,43.0,40.0,,44.18600082397461
2015-04-18,54.0,48.0,45.0,41.0,52.0,46.0,43.0,40.0,,
2015-04-19,54.0,48.0,45.0,41.0,52.0,46.0,43.0,40.0,,
2015-04-20,54.0,48.0,45.0,41.0,52.0,46.0,43.0,40.0,30.15,44.12099838256836
2015-04-21,54.0,48.0,45.0,41.0,52.0,46.0,43.0,40.0,,44.14500045776367
2015-04-22,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,44.25799942016602
2015-04-23,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,44.20000076293945
2015-04-24,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,44.05599975585938
2015-04-25,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,
2015-04-26,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,
2015-04-27,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,31.25,44.07600021362305
2015-04-28,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,44.08000183105469
2015-04-29,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,44.22999954223633
2015-04-30,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,44.13199996948242
2015-05-01,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,44.48300170898438
2015-05-02,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,
2015-05-03,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,
2015-05-04,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,33.0,44.57600021362305
2015-05-05,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,44.55500030517578
2015-05-06,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,44.3650016784668
2015-05-07,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,44.49499893188477
2015-05-08,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,44.57199859619141
2015-05-09,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,
2015-05-10,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,
2015-05-11,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,34.15,44.43299865722656
2015-05-12,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,44.7400016784668
2015-05-13,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,44.61999893188477
2015-05-14,55.0,49.0,45.5,41.5,52.0,46.0,43.5,40.5,,44.5
2015-05-15,56.0,50.0,46.0,42.0,52.5,46.5,44.0,41.0,,44.40000152587891
2015-05-16,56.0,50.0,46.0,42.0,52.5,46.5,44.0,41.0,,
2015-05-17,56.0,50.0,46.0,42.0,52.5,46.5,44.0,41.0,,
2015-05-18,56.0,50.0,46.0,42.0,52.5,46.5,44.0,41.0,33.4,44.27299880981445
2015-05-19,56.0,50.0,46.0,42.0,52.5,46.5,44.0,41.0,,44.34999847412109
2015-05-20,56.0,50.0,46.0,42.0,52.5,46.5,44.0,41.0,,44.5099983215332
2015-05-21,56.0,50.0,46.0,42.0,52.5,46.5,44.0,41.0,,44.39300155639648
2015-05-22,57.0,51.0,46.5,42.5,53.0,47.0,44.5,41.5,,44.40000152587891
2015-05-23,57.0,51.0,46.5,42.5,53.0,47.0,44.5,41.5,,
2015-05-24,57.0,51.0,46.5,42.5,53.0,47.0,44.5,41.5,,
2015-05-25,57.0,51.0,46.5,42.5,53.0,47.0,44.5,41.5,33.4,44.50899887084961
2015-05-26,57.0,51.0,46.5,42.5,53.0,47.0,44.5,41.5,,44.4739990234375
2015-05-27,57.0,51.0,46.5,42.5,53.0,47.0,44.5,41.5,,44.66500091552734
2015-05-28,57.0,51.0,46.5,42.5,53.0,47.0,44.5,41.5,,44.49499893188477
2015-05-29,58.0,52.0,47.0,43.0,54.0,48.0,45.0,42.0,,44.41999816894531
2015-05-30,58.0,52.0,47.0,43.0,54.0,48.0,45.0,42.0,,
2015-05-31,58.0,52.0,47.0,43.0,54.0,48.0,45.0,42.0,,
2015-06-01,58.0,52.0,47.0,43.0,54.0,48.0,45.0,42.0,33.15,44.40999984741211
2015-06-02,58.0,52.0,47.0,43.0,54.0,48.0,45.0,42.0,,44.4109992980957
2015-06-03,58.0,52.0,47.0,43.0,54.0,48.0,45.0,42.0,,44.68500137329102
2015-06-04,58.0,52.0,47.0,43.0,54.0,48.0,45.0,42.0,,44.68000030517578
2015-06-05,58.0,52.0,47.0,43.0,54.0,48.0,45.0,42.0,,44.84999847412109
2015-06-06,58.0,52.0,47.0,43.0,54.0,48.0,45.0,42.0,,
2015-06-07,58.0,52.0,47.0,43.0,54.0,48.0,45.0,42.0,,
2015-06-08,58.0,52.5,47.5,43.5,54.0,48.0,45.5,42.5,33.15,44.9900016784668
2015-06-09,58.0,52.5,47.5,43.5,54.0,48.0,45.5,42.5,,44.93000030517578
2015-06-10,58.0,52.5,47.5,43.5,54.0,48.0,45.5,42.5,,44.93999862670898
2015-06-11,58.0,52.5,47.5,43.5,54.0,48.0,45.5,42.5,,44.87200164794922
2015-06-12,58.0,52.5,47.5,43.5,54.0,48.0,45.5,42.5,,45.11800003051758
2015-06-13,58.0,52.5,47.5,43.5,54.0,48.0,45.5,42.5,,
2015-06-14,58.0,52.5,47.5,43.5,54.0,48.0,45.5,42.5,,
2015-06-15,60.0,53.0,48.0,44.0,55.0,49.0,46.0,43.0,31.65,45.17200088500977
2015-06-16,60.0,53.0,48.0,44.0,55.0,49.0,46.0,43.0,,45.0
2015-06-17,60.0,53.0,48.0,44.0,55.0,49.0,46.0,43.0,,44.97999954223633
2015-06-18,60.0,53.0,48.0,44.0,55.0,49.0,46.0,43.0,,45.08300018310547
2015-06-19,60.0,53.0,48.0,44.0,55.0,49.0,46.0,43.0,,44.75699996948242
2015-06-20,60.0,53.0,48.0,44.0,55.0,49.0,46.0,43.0,,
2015-06-21,60.0,53.0,48.0,44.0,55.0,49.0,46.0,43.0,,
2015-06-22,60.0,54.0,48.5,44.5,55.0,49.0,46.5,43.5,30.8,44.89500045776367
