Date,Local Special,Local Premium,Local Well Milled,Local Regular Milled,Imported Special,Imported Premium,Imported Well Milled,Imported Regular Milled,Source
03/20/2026,60.27,54.28,47.77,41.84,61.04,58.82,47.94,43.22,
03/21/2026,60.43,54.86,48.28,41.73,60.7,58.96,47.9,43.22,
04/01/2026,60.58,55.64,49.81,43.71,61.17,58.92,47.96,43.22,
04/04/2026,60.66,55.63,49.94,43.68,61.47,58.87,47.95,43.6,
04/29/2026,60.6,55.71,50.58,44.86,61.52,58.79,48.0,42.5,
05/02/2026,60.76,55.93,50.66,44.85,60.36,58.56,48.0,42.5,
05/06/2026,60.62,55.79,50.76,45.19,60.7,58.38,48.0,42.5,
05/07/2026,60.41,55.6,50.44,45.11,60.26,58.29,48.02,42.5,
05/12/2026,60.46,55.65,50.28,45.1,59.74,58.14,48.04,42.5,
05/13/2026,60.48,55.73,50.3,45.15,59.67,58.08,48.04,42.5,
05/14/2026,60.46,55.72,50.29,45.13,59.74,58.05,48.11,42.5,
05/22/2026,60.54,55.24,49.89,45.13,60.2,52.22,48.02,42.5,
05/23/2026,60.54,55.24,49.89,45.13,60.2,52.22,48.02,42.5,da_official
05/25/2026,60.79,55.47,49.96,44.78,59.5,51.57,48.02,42.5,da_official
05/26/2026,60.32,54.94,49.47,45.19,59.53,51.45,48.03,42.5,da_official
05/28/2026,60.26,54.82,49.36,50.12,59.38,51.2,48.0,42.5,estimated
07/27/2026,60.13,54.31,48.57,44.07,60.79,59.53,51.55,47.9,da_official
08/09/2026,59.11,53.58,48.18,45.12,60.83,59.74,51.81,47.78,da_official
09/01/2026,60.43,54.61,49.13,45.38,59.12,53.52,47.71,45.25,da_official
09/02/2026,60.04,54.11,48.57,44.87,59.74,52.98,47.72,45.25,da_official
09/03/2026,60.04,54.11,48.67,44.87,59.74,52.96,47.71,45.25,da_official
09/04/2026,60.09,54.08,48.67,44.79,59.74,53.0,47.71,45.25,da_official
09/05/2026,59.74,53.62,48.22,45.0,59.61,53.45,47.71,45.25,da_official
09/06/2026,59.68,53.5,48.16,45.16,59.41,52.44,47.07,44.81,estimated
